n	sequence
1	1
2	5
3	16
4	45
5	121
6	320
7	841
8	2205
9	5776
10	15125
11	39601
12	103680
13	271441
14	710645
15	1860496
16	4870845
17	12752041
18	33385280
19	87403801
20	228826125
21	599074576
22	1568397605
23	4106118241
24	10749957120
25	28143753121
26	73681302245
27	192900153616
28	505019158605
29	1322157322201
30	3461452808000
31	9062201101801
32	23725150497405
33	62113250390416
34	162614600673845
35	425730551631121
36	1114577054219520
37	2918000611027441
38	7639424778862805
39	20000273725560976
40	52361396397820125
41	137083915467899401
42	358890350005878080
43	939587134549734841
44	2459871053643326445
45	6440026026380244496
46	16860207025497407045
47	44140595050111976641
48	115561578124838522880
49	302544139324403592001
50	792070839848372253125
51	2073668380220713167376
52	5428934300813767249005
53	14213134522220588579641
54	37210469265847998489920
55	97418273275323406890121
56	255044350560122222180445
57	667714778405043259651216
58	1748099984655007556773205
59	4576585175559979410668401
60	11981655542024930675232000
61	31368381450514812615027601
62	82123488809519507169850805
63	215002084978043708894524816
64	562882766124611619513723645
65	1473646213395791149646646121
66	3858055874062761829426214720
67	10100521408792494338631998041
68	26443508352314721186469779405
69	69230003648151669220777340176
70	181246502592140286475862241125
71	474509504128269190206809383201
72	1242282009792667284144565908480
73	3252336525249732662226888342241
74	8514727565956530702536099118245
75	22291846172619859445381409012496
76	58360810951903047633608127919245
77	152790586683089283455442974745241
78	400010949097364802732720796316480
79	1047242260609005124742719414204201
80	2741715832729650571495437446296125
81	7177905237579946589743592924684176
82	18791999880010189197735341327756405
83	49198094402450621003462431058585041
84	128802283327341673812651951847998720
85	337208755579574400434493424485411121
86	882823983411381527490828321608234645
87	2311263194654570182037991540339292816
88	6050965600552329018623146299409643805
89	15841633607002416873831447357889638601
90	41473935220454921602871195774259272000
91	108580172054362347934782139964888177401
92	284266580942632122201475224120405260205
93	744219570773534018669643532396327603216
94	1948392131377969933807455373068577549445
95	5100956823360375782752722586809405045121
96	13354478338703157414450712387359637585920
97	34962478192749096460599414575269507712641
98	91532956239544131967347531338448885552005
99	239636390525883299441443179440077148943376
100	627376215338105766356982006981782561278125
